1: ProtocolRequired - \handshake\ProtocolRequired.as
5759: ExchangeBuyOkMessage - \game\inventory\exchanges\ExchangeBuyOkMessage.as
5761: ExchangeStartOkNpcShopMessage - \game\inventory\exchanges\ExchangeStartOkNpcShopMessage.as
5762: ExchangeGuildTaxCollectorGetMessage - \game\inventory\exchanges\ExchangeGuildTaxCollectorGetMessage.as
5765: ExchangeTypesExchangerDescriptionForUserMessage - \game\inventory\exchanges\ExchangeTypesExchangerDescriptionForUserMessage.as
5767: ExchangeStartOkHumanVendorMessage - \game\inventory\exchanges\ExchangeStartOkHumanVendorMessage.as
5768: ExchangeOkMultiCraftMessage - \game\inventory\exchanges\ExchangeOkMultiCraftMessage.as
5769: ItemNoMoreAvailableMessage - \game\inventory\exchanges\ItemNoMoreAvailableMessage.as
5772: ExchangeOnHumanVendorRequestMessage - \game\inventory\exchanges\ExchangeOnHumanVendorRequestMessage.as
5773: ExchangePlayerRequestMessage - \game\inventory\exchanges\ExchangePlayerRequestMessage.as
5774: ExchangeBuyMessage - \game\inventory\exchanges\ExchangeBuyMessage.as
5775: ExchangeStartAsVendorMessage - \game\inventory\exchanges\ExchangeStartAsVendorMessage.as
5778: ExchangeSellMessage - \game\inventory\exchanges\ExchangeSellMessage.as
5779: ExchangeRequestOnTaxCollectorMessage - \game\inventory\exchanges\ExchangeRequestOnTaxCollectorMessage.as
5783: ExchangeShowVendorTaxMessage - \game\inventory\exchanges\ExchangeShowVendorTaxMessage.as
5784: ExchangePlayerMultiCraftRequestMessage - \game\inventory\exchanges\ExchangePlayerMultiCraftRequestMessage.as
5785: ExchangeStartOkNpcTradeMessage - \game\inventory\exchanges\ExchangeStartOkNpcTradeMessage.as
5786: ExchangeWaitingResultMessage - \game\inventory\exchanges\ExchangeWaitingResultMessage.as
5787: ExchangeReplyTaxVendorMessage - \game\inventory\exchanges\ExchangeReplyTaxVendorMessage.as
5790: ExchangeCraftResultMessage - \game\inventory\exchanges\ExchangeCraftResultMessage.as
5792: ExchangeSellOkMessage - \game\inventory\exchanges\ExchangeSellOkMessage.as
5793: ExchangeWeightMessage - \game\inventory\exchanges\ExchangeWeightMessage.as
5794: ExchangeCraftInformationObjectMessage - \game\inventory\exchanges\ExchangeCraftInformationObjectMessage.as
5802: ExchangeBidSearchOkMessage - \game\inventory\exchanges\ExchangeBidSearchOkMessage.as
5803: ExchangeBidHouseTypeMessage - \game\inventory\exchanges\ExchangeBidHouseTypeMessage.as
5804: ExchangeBidHouseBuyMessage - \game\inventory\exchanges\ExchangeBidHouseBuyMessage.as
5805: ExchangeBidHousePriceMessage - \game\inventory\exchanges\ExchangeBidHousePriceMessage.as
5806: ExchangeBidHouseSearchMessage - \game\inventory\exchanges\ExchangeBidHouseSearchMessage.as
5807: ExchangeBidHouseListMessage - \game\inventory\exchanges\ExchangeBidHouseListMessage.as
5809: JobExperienceMultiUpdateMessage - \game\context\roleplay\job\JobExperienceMultiUpdateMessage.as
5810: ExchangeItemAutoCraftStopedMessage - \game\inventory\exchanges\ExchangeItemAutoCraftStopedMessage.as
5813: ExchangeStartOkCraftMessage - \game\inventory\exchanges\ExchangeStartOkCraftMessage.as
5816: BasicLatencyStatsRequestMessage - \game\basic\BasicLatencyStatsRequestMessage.as
5817: ExchangeStartOkMulticraftCustomerMessage - \game\inventory\exchanges\ExchangeStartOkMulticraftCustomerMessage.as
5818: ExchangeStartOkMulticraftCrafterMessage - \game\inventory\exchanges\ExchangeStartOkMulticraftCrafterMessage.as
5819: ExchangeStartOkJobIndexMessage - \game\inventory\exchanges\ExchangeStartOkJobIndexMessage.as
5821: GameActionFightInvisibilityMessage - \game\actions\fight\GameActionFightInvisibilityMessage.as
5822: GameRolePlayFightRequestCanceledMessage - \game\context\roleplay\fight\GameRolePlayFightRequestCanceledMessage.as
5824: PaddockPropertiesMessage - \game\context\roleplay\paddock\PaddockPropertiesMessage.as
5825: GameActionFightSummonMessage - \game\actions\fight\GameActionFightSummonMessage.as
5826: GameActionFightDropCharacterMessage - \game\actions\fight\GameActionFightDropCharacterMessage.as
5828: GameActionFightDodgePointLossMessage - \game\actions\fight\GameActionFightDodgePointLossMessage.as
5829: GameActionFightThrowCharacterMessage - \game\actions\fight\GameActionFightThrowCharacterMessage.as
5830: GameActionFightCarryCharacterMessage - \game\actions\fight\GameActionFightCarryCharacterMessage.as
5835: GuildMembershipMessage - \game\guild\GuildMembershipMessage.as
5836: CharacterSelectedErrorMessage - \game\character\choice\CharacterSelectedErrorMessage.as
5843: PrismFightJoinLeaveRequestMessage - \game\prism\PrismFightJoinLeaveRequestMessage.as
5844: PrismInfoJoinLeaveRequestMessage - \game\prism\PrismInfoJoinLeaveRequestMessage.as
5853: PrismInfoCloseMessage - \game\prism\PrismInfoCloseMessage.as
5859: PrismInfoInValidMessage - \game\prism\PrismInfoInValidMessage.as
5864: GameFightShowFighterMessage - \game\context\fight\character\GameFightShowFighterMessage.as
5884: HouseSellFromInsideRequestMessage - \game\context\roleplay\houses\HouseSellFromInsideRequestMessage.as
5885: HouseLockFromInsideRequestMessage - \game\context\roleplay\houses\HouseLockFromInsideRequestMessage.as
5887: GuildKickRequestMessage - \game\guild\GuildKickRequestMessage.as
5892: PrismFightDefenderLeaveMessage - \game\prism\PrismFightDefenderLeaveMessage.as
5893: PrismFightAttackerAddMessage - \game\prism\PrismFightAttackerAddMessage.as
5895: PrismFightDefenderAddMessage - \game\prism\PrismFightDefenderAddMessage.as
5897: PrismFightAttackerRemoveMessage - \game\prism\PrismFightAttackerRemoveMessage.as
5898: NpcGenericActionRequestMessage - \game\context\roleplay\npc\NpcGenericActionRequestMessage.as
5900: NpcGenericActionFailureMessage - \game\context\roleplay\npc\NpcGenericActionFailureMessage.as
5901: PrismFightSwapRequestMessage - \game\prism\PrismFightSwapRequestMessage.as
5904: ExchangeStartedBidBuyerMessage - \game\inventory\exchanges\ExchangeStartedBidBuyerMessage.as
5905: ExchangeStartedBidSellerMessage - \game\inventory\exchanges\ExchangeStartedBidSellerMessage.as
5907: ExchangeShopStockMovementRemovedMessage - \game\inventory\exchanges\ExchangeShopStockMovementRemovedMessage.as
5908: ChallengeFightJoinRefusedMessage - \game\guild\ChallengeFightJoinRefusedMessage.as
5909: ExchangeShopStockMovementUpdatedMessage - \game\inventory\exchanges\ExchangeShopStockMovementUpdatedMessage.as
5910: ExchangeShopStockStartedMessage - \game\inventory\exchanges\ExchangeShopStockStartedMessage.as
5915: TaxCollectorMovementRemoveMessage - \game\guild\tax\TaxCollectorMovementRemoveMessage.as
5917: TaxCollectorMovementAddMessage - \game\guild\tax\TaxCollectorMovementAddMessage.as
5918: TaxCollectorAttackedMessage - \game\guild\tax\TaxCollectorAttackedMessage.as
5919: GuildHousesInformationMessage - \game\guild\GuildHousesInformationMessage.as
5920: GuildCreationStartedMessage - \game\guild\GuildCreationStartedMessage.as
5921: GameFightSynchronizeMessage - \game\context\fight\GameFightSynchronizeMessage.as
5923: GuildMemberLeavingMessage - \game\guild\GuildMemberLeavingMessage.as
5924: FriendUpdateMessage - \game\friend\FriendUpdateMessage.as
5925: ObjectGroundListAddedMessage - \game\context\roleplay\objects\ObjectGroundListAddedMessage.as
5927: GameFightOptionStateUpdateMessage - \game\context\fight\GameFightOptionStateUpdateMessage.as
5928: GuildFightPlayersEnemiesListMessage - \game\guild\tax\GuildFightPlayersEnemiesListMessage.as
5929: GuildFightPlayersEnemyRemoveMessage - \game\guild\tax\GuildFightPlayersEnemyRemoveMessage.as
5930: TaxCollectorListMessage - \game\guild\tax\TaxCollectorListMessage.as
5932: ContactLookRequestMessage - \game\social\ContactLookRequestMessage.as
5933: ContactLookRequestByNameMessage - \game\social\ContactLookRequestByNameMessage.as
5934: ContactLookMessage - \game\social\ContactLookMessage.as
5935: ContactLookRequestByIdMessage - \game\social\ContactLookRequestByIdMessage.as
5937: GameRolePlayPlayerFightFriendlyRequestedMessage - \game\context\roleplay\fight\GameRolePlayPlayerFightFriendlyRequestedMessage.as
5941: ExchangeStartOkCraftWithInformationMessage - \game\inventory\exchanges\ExchangeStartOkCraftWithInformationMessage.as
5944: ObjectGroundRemovedMultipleMessage - \game\context\roleplay\objects\ObjectGroundRemovedMultipleMessage.as
5945: ExchangeBidHouseItemAddOkMessage - \game\inventory\exchanges\ExchangeBidHouseItemAddOkMessage.as
5946: ExchangeBidHouseItemRemoveOkMessage - \game\inventory\exchanges\ExchangeBidHouseItemRemoveOkMessage.as
5947: ExchangeBidHouseGenericItemAddedMessage - \game\inventory\exchanges\ExchangeBidHouseGenericItemAddedMessage.as
5948: ExchangeBidHouseGenericItemRemovedMessage - \game\inventory\exchanges\ExchangeBidHouseGenericItemRemovedMessage.as
5949: ExchangeBidHouseInListAddedMessage - \game\inventory\exchanges\ExchangeBidHouseInListAddedMessage.as
5950: ExchangeBidHouseInListRemovedMessage - \game\inventory\exchanges\ExchangeBidHouseInListRemovedMessage.as
5951: PaddockBuyRequestMessage - \game\context\mount\PaddockBuyRequestMessage.as
5952: GuildPaddockBoughtMessage - \game\guild\GuildPaddockBoughtMessage.as
5953: PaddockSellRequestMessage - \game\context\mount\PaddockSellRequestMessage.as
5954: GameRolePlayTaxCollectorFightRequestMessage - \game\guild\tax\GameRolePlayTaxCollectorFightRequestMessage.as
5955: GuildPaddockRemovedMessage - \game\guild\GuildPaddockRemovedMessage.as
5956: AtlasPointInformationsMessage - \game\atlas\AtlasPointInformationsMessage.as
5957: GuildPaddockTeleportRequestMessage - \game\guild\GuildPaddockTeleportRequestMessage.as
5958: PaddockRemoveItemRequestMessage - \game\context\mount\PaddockRemoveItemRequestMessage.as
5959: GuildInformationsPaddocksMessage - \game\guild\GuildInformationsPaddocksMessage.as
5961: TeleportRequestMessage - \game\interactive\zaap\TeleportRequestMessage.as
5962: MountSterilizeRequestMessage - \game\context\mount\MountSterilizeRequestMessage.as
5963: MountEquipedErrorMessage - \game\context\mount\MountEquipedErrorMessage.as
5967: MountRidingMessage - \game\context\mount\MountRidingMessage.as
5968: MountSetMessage - \game\context\mount\MountSetMessage.as
5970: MountXpRatioMessage - \game\context\mount\MountXpRatioMessage.as
5972: MountInformationRequestMessage - \game\context\mount\MountInformationRequestMessage.as
5973: MountDataMessage - \game\context\mount\MountDataMessage.as
5975: MountInformationInPaddockRequestMessage - \game\context\mount\MountInformationInPaddockRequestMessage.as
5976: MountToggleRidingRequestMessage - \game\context\mount\MountToggleRidingRequestMessage.as
5977: MountSterilizedMessage - \game\context\mount\MountSterilizedMessage.as
5978: MountEmoteIconUsedOkMessage - \game\context\mount\MountEmoteIconUsedOkMessage.as
5979: ExchangeStartOkMountMessage - \game\inventory\exchanges\ExchangeStartOkMountMessage.as
5980: MountReleaseRequestMessage - \game\context\mount\MountReleaseRequestMessage.as
5981: ExchangeMountStableErrorMessage - \game\inventory\exchanges\ExchangeMountStableErrorMessage.as
5982: MountUnSetMessage - \game\context\mount\MountUnSetMessage.as
5983: MountRenamedMessage - \game\context\mount\MountRenamedMessage.as
5984: ExchangeStartedMountStockMessage - \game\inventory\exchanges\ExchangeStartedMountStockMessage.as
5986: ExchangeRequestOnMountStockMessage - \game\inventory\exchanges\ExchangeRequestOnMountStockMessage.as
5987: MountRenameRequestMessage - \game\context\mount\MountRenameRequestMessage.as
5989: MountSetXpRatioRequestMessage - \game\context\mount\MountSetXpRatioRequestMessage.as
5990: GameDataPaddockObjectAddMessage - \game\context\mount\GameDataPaddockObjectAddMessage.as
5991: ExchangeStartOkMountWithOutPaddockMessage - \game\inventory\exchanges\ExchangeStartOkMountWithOutPaddockMessage.as
5992: GameDataPaddockObjectListAddMessage - \game\context\mount\GameDataPaddockObjectListAddMessage.as
5993: GameDataPaddockObjectRemoveMessage - \game\context\mount\GameDataPaddockObjectRemoveMessage.as
5996: GameRolePlayPlayerLifeStatusMessage - \game\context\roleplay\death\GameRolePlayPlayerLifeStatusMessage.as
5999: ExchangeCraftResultWithObjectDescMessage - \game\inventory\exchanges\ExchangeCraftResultWithObjectDescMessage.as
6000: ExchangeCraftResultWithObjectIdMessage - \game\inventory\exchanges\ExchangeCraftResultWithObjectIdMessage.as
6001: ExchangeReplayStopMessage - \game\inventory\exchanges\ExchangeReplayStopMessage.as
6004: ExchangeObjectUseInWorkshopMessage - \game\inventory\exchanges\ExchangeObjectUseInWorkshopMessage.as
6008: ExchangeObjectModifiedInBagMessage - \game\inventory\items\ExchangeObjectModifiedInBagMessage.as
6009: ExchangeObjectPutInBagMessage - \game\inventory\items\ExchangeObjectPutInBagMessage.as
6010: ExchangeObjectRemovedFromBagMessage - \game\inventory\items\ExchangeObjectRemovedFromBagMessage.as
6012: PauseDialogMessage - \game\dialog\PauseDialogMessage.as
6013: CompassUpdatePvpSeekMessage - \game\atlas\compass\CompassUpdatePvpSeekMessage.as
6014: ObjectJobAddedMessage - \game\inventory\items\ObjectJobAddedMessage.as
6018: PaddockSellBuyDialogMessage - \game\context\roleplay\paddock\PaddockSellBuyDialogMessage.as
6019: ChallengeResultMessage - \game\context\fight\challenge\ChallengeResultMessage.as
6020: ExchangeMultiCraftCrafterCanUseHisRessourcesMessage - \game\inventory\items\ExchangeMultiCraftCrafterCanUseHisRessourcesMessage.as
6021: ExchangeMultiCraftSetCrafterCanUseHisRessourcesMessage - \game\inventory\items\ExchangeMultiCraftSetCrafterCanUseHisRessourcesMessage.as
6022: ChallengeInfoMessage - \game\context\fight\challenge\ChallengeInfoMessage.as
6024: GameContextCreateErrorMessage - \game\context\GameContextCreateErrorMessage.as
6026: GameDataPlayFarmObjectAnimationMessage - \game\context\roleplay\paddock\GameDataPlayFarmObjectAnimationMessage.as
6028: DebugInClientMessage - \debug\DebugInClientMessage.as
6029: AccountLoggingKickedMessage - \game\approach\AccountLoggingKickedMessage.as
6030: GoldAddedMessage - \game\inventory\items\GoldAddedMessage.as
6032: ExchangeObjectTransfertAllToInvMessage - \game\inventory\exchanges\ExchangeObjectTransfertAllToInvMessage.as
6033: ObjectsAddedMessage - \game\inventory\items\ObjectsAddedMessage.as
6034: ObjectsDeletedMessage - \game\inventory\items\ObjectsDeletedMessage.as
6035: StorageObjectsRemoveMessage - \game\inventory\storage\StorageObjectsRemoveMessage.as
6036: StorageObjectsUpdateMessage - \game\inventory\storage\StorageObjectsUpdateMessage.as
6037: ExchangeShopStockMultiMovementRemovedMessage - \game\inventory\exchanges\ExchangeShopStockMultiMovementRemovedMessage.as
6038: ExchangeShopStockMultiMovementUpdatedMessage - \game\inventory\exchanges\ExchangeShopStockMultiMovementUpdatedMessage.as
6039: ExchangeObjectTransfertListToInvMessage - \game\inventory\exchanges\ExchangeObjectTransfertListToInvMessage.as
6040: PrismFightStateUpdateMessage - \game\prism\PrismFightStateUpdateMessage.as
6041: PrismUseRequestMessage - \game\prism\PrismUseRequestMessage.as
6042: PrismAttackRequestMessage - \game\prism\PrismAttackRequestMessage.as
6043: JobCrafterDirectoryEntryRequestMessage - \game\context\roleplay\job\JobCrafterDirectoryEntryRequestMessage.as
6044: JobCrafterDirectoryEntryMessage - \game\context\roleplay\job\JobCrafterDirectoryEntryMessage.as
6045: ContactLookErrorMessage - \game\social\ContactLookErrorMessage.as
6046: JobCrafterDirectoryListMessage - \game\context\roleplay\job\JobCrafterDirectoryListMessage.as
6047: JobCrafterDirectoryListRequestMessage - \game\context\roleplay\job\JobCrafterDirectoryListRequestMessage.as
6048: TeleportOnSameMapMessage - \game\context\roleplay\TeleportOnSameMapMessage.as
6051: MapObstacleUpdateMessage - \game\context\roleplay\MapObstacleUpdateMessage.as
6052: PaddockMoveItemRequestMessage - \game\context\mount\PaddockMoveItemRequestMessage.as
6053: CinematicMessage - \game\script\CinematicMessage.as
6054: PartyUpdateLightMessage - \game\context\roleplay\party\PartyUpdateLightMessage.as
6055: ExchangeMountFreeFromPaddockMessage - \game\inventory\exchanges\ExchangeMountFreeFromPaddockMessage.as
6056: ExchangeMountSterilizeFromPaddockMessage - \game\inventory\exchanges\ExchangeMountSterilizeFromPaddockMessage.as
6058: AlignmentRankUpdateMessage - \game\pvp\AlignmentRankUpdateMessage.as
6061: GuildMemberOnlineStatusMessage - \game\guild\GuildMemberOnlineStatusMessage.as
6062: GuildLevelUpMessage - \game\guild\GuildLevelUpMessage.as
6065: LivingObjectMessageMessage - \game\inventory\items\LivingObjectMessageMessage.as
6066: LivingObjectMessageRequestMessage - \game\inventory\items\LivingObjectMessageRequestMessage.as
6067: GameFightResumeMessage - \game\context\fight\GameFightResumeMessage.as
6068: CharacterSelectedForceMessage - \game\character\choice\CharacterSelectedForceMessage.as
6069: GameFightSpectateMessage - \game\context\fight\GameFightSpectateMessage.as
6070: GameActionFightDispellableEffectMessage - \game\actions\fight\GameActionFightDispellableEffectMessage.as
6071: GameContextReadyMessage - \game\context\GameContextReadyMessage.as
6072: CharacterSelectedForceReadyMessage - \game\character\choice\CharacterSelectedForceReadyMessage.as
6073: GameRolePlayAggressionMessage - \game\context\roleplay\fight\GameRolePlayAggressionMessage.as
6076: CharacterLevelUpInformationMessage - \game\character\stats\CharacterLevelUpInformationMessage.as
6077: FriendSetWarnOnLevelGainMessage - \game\friend\FriendSetWarnOnLevelGainMessage.as
6078: FriendWarnOnLevelGainStateMessage - \game\friend\FriendWarnOnLevelGainStateMessage.as
6080: PartyAbdicateThroneMessage - \game\context\roleplay\party\PartyAbdicateThroneMessage.as
6081: GameContextKickMessage - \game\context\GameContextKickMessage.as
6084: CharacterFirstSelectionMessage - \game\character\choice\CharacterFirstSelectionMessage.as
6085: QuestObjectiveValidationMessage - \game\context\roleplay\quest\QuestObjectiveValidationMessage.as
6087: NotificationListMessage - \game\context\notification\NotificationListMessage.as
6088: GuidedModeReturnRequestMessage - \game\context\roleplay\quest\GuidedModeReturnRequestMessage.as
6089: NotificationResetMessage - \game\context\notification\NotificationResetMessage.as
6090: NotificationUpdateFlagMessage - \game\context\notification\NotificationUpdateFlagMessage.as
6091: QuestStartedMessage - \game\context\roleplay\quest\QuestStartedMessage.as
6092: GuidedModeQuitRequestMessage - \game\context\roleplay\quest\GuidedModeQuitRequestMessage.as
6096: QuestStepStartedMessage - \game\context\roleplay\quest\QuestStepStartedMessage.as
6097: QuestValidatedMessage - \game\context\roleplay\quest\QuestValidatedMessage.as
6098: QuestObjectiveValidatedMessage - \game\context\roleplay\quest\QuestObjectiveValidatedMessage.as
6099: QuestStepValidatedMessage - \game\context\roleplay\quest\QuestStepValidatedMessage.as
6100: QueueStatusMessage - \queues\QueueStatusMessage.as
6103: NotificationByServerMessage - \game\context\notification\NotificationByServerMessage.as
6110: EntityTalkMessage - \game\context\roleplay\npc\EntityTalkMessage.as
6112: InteractiveUseEndedMessage - \game\interactive\InteractiveUseEndedMessage.as
6113: GameActionFightDispellEffectMessage - \game\actions\fight\GameActionFightDispellEffectMessage.as
6114: GameRolePlaySpellAnimMessage - \game\context\roleplay\visual\GameRolePlaySpellAnimMessage.as
6115: GuildInvitationByNameMessage - \game\guild\GuildInvitationByNameMessage.as
6116: GameActionFightCloseCombatMessage - \game\actions\fight\GameActionFightCloseCombatMessage.as
6118: AbstractGameActionFightTargetedAbilityMessage - \game\actions\fight\AbstractGameActionFightTargetedAbilityMessage.as
6119: IdentificationAccountForceMessage - \connection\IdentificationAccountForceMessage.as
6123: ChallengeTargetUpdateMessage - \game\context\fight\challenge\ChallengeTargetUpdateMessage.as
6124: StopToListenRunningFightRequestMessage - \game\context\roleplay\StopToListenRunningFightRequestMessage.as
6127: ConsoleCommandsListMessage - \authorized\ConsoleCommandsListMessage.as
6129: ExchangeStartedWithPodsMessage - \game\inventory\exchanges\ExchangeStartedWithPodsMessage.as
6130: MapComplementaryInformationsDataInHouseMessage - \game\context\roleplay\MapComplementaryInformationsDataInHouseMessage.as
6132: GameActionFightNoSpellCastMessage - \game\actions\fight\GameActionFightNoSpellCastMessage.as
6134: PopupWarningMessage - \game\moderation\PopupWarningMessage.as
6135: ChatAdminServerMessage - \game\chat\ChatAdminServerMessage.as
6137: HouseToSellFilterMessage - \game\context\roleplay\houses\HouseToSellFilterMessage.as
6138: PaddockToSellListMessage - \game\context\roleplay\paddock\PaddockToSellListMessage.as
6139: HouseToSellListRequestMessage - \game\context\roleplay\houses\HouseToSellListRequestMessage.as
6140: HouseToSellListMessage - \game\context\roleplay\houses\HouseToSellListMessage.as
6141: PaddockToSellListRequestMessage - \game\context\roleplay\paddock\PaddockToSellListRequestMessage.as
6142: AcquaintanceServerListMessage - \connection\search\AcquaintanceServerListMessage.as
6143: AcquaintanceSearchErrorMessage - \connection\search\AcquaintanceSearchErrorMessage.as
6144: AcquaintanceSearchMessage - \connection\search\AcquaintanceSearchMessage.as
6147: GameActionFightTriggerEffectMessage - \game\actions\fight\GameActionFightTriggerEffectMessage.as
6150: GameRolePlayDelayedActionFinishedMessage - \game\context\roleplay\delay\GameRolePlayDelayedActionFinishedMessage.as
6153: GameRolePlayDelayedActionMessage - \game\context\roleplay\delay\GameRolePlayDelayedActionMessage.as
6154: CheckFileRequestMessage - \security\CheckFileRequestMessage.as
6155: GameMapChangeOrientationsMessage - \game\context\GameMapChangeOrientationsMessage.as
6156: CheckFileMessage - \security\CheckFileMessage.as
6158: ShowCellSpectatorMessage - \game\context\ShowCellSpectatorMessage.as
6159: GuildMemberSetWarnOnConnectionMessage - \game\friend\GuildMemberSetWarnOnConnectionMessage.as
6160: GuildMemberWarnOnConnectionStateMessage - \game\friend\GuildMemberWarnOnConnectionStateMessage.as
6161: PaddockToSellFilterMessage - \game\context\roleplay\paddock\PaddockToSellFilterMessage.as
6172: MountDataErrorMessage - \game\context\mount\MountDataErrorMessage.as
6174: IdentificationFailedBannedMessage - \connection\IdentificationFailedBannedMessage.as
6175: PartyRestrictedMessage - \game\context\roleplay\party\PartyRestrictedMessage.as
6176: GameActionFightDispellSpellMessage - \game\actions\fight\GameActionFightDispellSpellMessage.as
6180: GuildHouseRemoveMessage - \game\guild\GuildHouseRemoveMessage.as
6181: GuildHouseUpdateInformationMessage - \game\guild\GuildHouseUpdateInformationMessage.as
6183: ExchangeObjectTransfertListFromInvMessage - \game\inventory\exchanges\ExchangeObjectTransfertListFromInvMessage.as
6184: ExchangeObjectTransfertAllFromInvMessage - \game\inventory\exchanges\ExchangeObjectTransfertAllFromInvMessage.as
6185: LocalizedChatSmileyMessage - \game\chat\smiley\LocalizedChatSmileyMessage.as
6188: ExchangeCraftResultMagicWithObjectDescMessage - \game\inventory\exchanges\ExchangeCraftResultMagicWithObjectDescMessage.as
6189: MountFeedRequestMessage - \game\context\mount\MountFeedRequestMessage.as
6191: GameRolePlayAttackMonsterRequestMessage - \game\context\roleplay\fight\GameRolePlayAttackMonsterRequestMessage.as
6192: MoodSmileyRequestMessage - \game\chat\smiley\MoodSmileyRequestMessage.as
6196: MoodSmileyResultMessage - \game\chat\smiley\MoodSmileyResultMessage.as
6197: ErrorMapNotFoundMessage - \game\context\roleplay\ErrorMapNotFoundMessage.as
6205: AchievementListMessage - \game\achievement\AchievementListMessage.as
6206: ObjectsQuantityMessage - \game\inventory\items\ObjectsQuantityMessage.as
6208: AchievementFinishedMessage - \game\achievement\AchievementFinishedMessage.as
6209: IdentificationSuccessWithLoginTokenMessage - \connection\IdentificationSuccessWithLoginTokenMessage.as
6214: SlaveSwitchContextMessage - \game\context\fight\SlaveSwitchContextMessage.as
6215: GameFightResumeWithSlavesMessage - \game\context\fight\GameFightResumeWithSlavesMessage.as
6216: AccountCapabilitiesMessage - \game\approach\AccountCapabilitiesMessage.as
6217: GameActionFightVanishMessage - \game\actions\fight\GameActionFightVanishMessage.as
6218: GameFightShowFighterRandomStaticPoseMessage - \game\context\fight\character\GameFightShowFighterRandomStaticPoseMessage.as
6219: GameActionFightSpellCooldownVariationMessage - \game\actions\fight\GameActionFightSpellCooldownVariationMessage.as
6221: GameActionFightSpellImmunityMessage - \game\actions\fight\GameActionFightSpellImmunityMessage.as
6222: ShortcutBarRemoveErrorMessage - \game\shortcut\ShortcutBarRemoveErrorMessage.as
6224: ShortcutBarRemovedMessage - \game\shortcut\ShortcutBarRemovedMessage.as
6225: ShortcutBarAddRequestMessage - \game\shortcut\ShortcutBarAddRequestMessage.as
6226: ShortcutBarSwapErrorMessage - \game\shortcut\ShortcutBarSwapErrorMessage.as
6227: ShortcutBarAddErrorMessage - \game\shortcut\ShortcutBarAddErrorMessage.as
6228: ShortcutBarRemoveRequestMessage - \game\shortcut\ShortcutBarRemoveRequestMessage.as
6229: ShortcutBarRefreshMessage - \game\shortcut\ShortcutBarRefreshMessage.as
6230: ShortcutBarSwapRequestMessage - \game\shortcut\ShortcutBarSwapRequestMessage.as
6231: ShortcutBarContentMessage - \game\shortcut\ShortcutBarContentMessage.as
6234: ObjectUseMultipleMessage - \game\inventory\items\ObjectUseMultipleMessage.as
6235: GuildFightTakePlaceRequestMessage - \game\guild\tax\GuildFightTakePlaceRequestMessage.as
6236: ExchangeStartedWithStorageMessage - \game\inventory\exchanges\ExchangeStartedWithStorageMessage.as
6237: ServerExperienceModificatorMessage - \game\initialization\ServerExperienceModificatorMessage.as
6238: ExchangeObjectModifyPricedMessage - \game\inventory\exchanges\ExchangeObjectModifyPricedMessage.as
6239: GameFightNewRoundMessage - \game\context\fight\GameFightNewRoundMessage.as
6240: DungeonPartyFinderAvailableDungeonsRequestMessage - \game\context\roleplay\party\DungeonPartyFinderAvailableDungeonsRequestMessage.as
6241: DungeonPartyFinderRegisterSuccessMessage - \game\context\roleplay\party\DungeonPartyFinderRegisterSuccessMessage.as
6242: DungeonPartyFinderAvailableDungeonsMessage - \game\context\roleplay\party\DungeonPartyFinderAvailableDungeonsMessage.as
6243: DungeonPartyFinderRegisterErrorMessage - \game\context\roleplay\party\DungeonPartyFinderRegisterErrorMessage.as
6244: PartyInvitationDungeonMessage - \game\context\roleplay\party\PartyInvitationDungeonMessage.as
6245: PartyInvitationDungeonRequestMessage - \game\context\roleplay\party\PartyInvitationDungeonRequestMessage.as
6246: DungeonPartyFinderListenRequestMessage - \game\context\roleplay\party\DungeonPartyFinderListenRequestMessage.as
6247: DungeonPartyFinderRoomContentMessage - \game\context\roleplay\party\DungeonPartyFinderRoomContentMessage.as
6248: DungeonPartyFinderListenErrorMessage - \game\context\roleplay\party\DungeonPartyFinderListenErrorMessage.as
6249: DungeonPartyFinderRegisterRequestMessage - \game\context\roleplay\party\DungeonPartyFinderRegisterRequestMessage.as
6250: DungeonPartyFinderRoomContentUpdateMessage - \game\context\roleplay\party\DungeonPartyFinderRoomContentUpdateMessage.as
6251: PartyCancelInvitationNotificationMessage - \game\context\roleplay\party\PartyCancelInvitationNotificationMessage.as
6252: PartyMemberEjectedMessage - \game\context\roleplay\party\PartyMemberEjectedMessage.as
6253: RawDataMessage - \security\RawDataMessage.as
6254: PartyCancelInvitationMessage - \game\context\roleplay\party\PartyCancelInvitationMessage.as
6256: PartyInvitationCancelledForGuestMessage - \game\context\roleplay\party\PartyInvitationCancelledForGuestMessage.as
6260: PartyNewGuestMessage - \game\context\roleplay\party\PartyNewGuestMessage.as
6261: PartyDeletedMessage - \game\context\roleplay\party\PartyDeletedMessage.as
6262: PartyInvitationDungeonDetailsMessage - \game\context\roleplay\party\PartyInvitationDungeonDetailsMessage.as
6263: PartyInvitationDetailsMessage - \game\context\roleplay\party\PartyInvitationDetailsMessage.as
6264: PartyInvitationDetailsRequestMessage - \game\context\roleplay\party\PartyInvitationDetailsRequestMessage.as
6265: SpouseStatusMessage - \game\friend\SpouseStatusMessage.as
6266: URLOpenMessage - \game\script\URLOpenMessage.as
6267: TrustStatusMessage - \secure\TrustStatusMessage.as
6268: MapComplementaryInformationsWithCoordsMessage - \game\context\roleplay\MapComplementaryInformationsWithCoordsMessage.as
